concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
		"ICDO3"		"X"	"9320/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9321/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9322/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9330/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9330/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8583/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8583/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8584/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8584/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8585/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8585/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8586/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8587/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8588/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8589/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8590/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8591/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8592/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8593/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8950/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8951/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8959/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8959/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8959/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8960/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8960/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8963/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9064/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9065/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9070/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9071/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9072/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9073/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9080/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9080/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9080/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9081/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9082/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9083/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9084/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9084/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9085/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9090/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9090/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9091/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9100/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9100/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9100/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8503/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8503/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8504/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8504/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8504/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8505/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8506/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8507/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8508/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8510/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8512/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8513/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8514/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8762/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8770/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8770/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8771/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8771/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8772/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8772/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8773/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8774/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8780/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8780/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8790/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8800/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8730/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8010/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8010/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8010/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8010/9"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8011/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8011/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8012/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8013/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8014/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8015/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8020/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8021/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8022/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8030/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8031/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8032/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8033/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8034/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8035/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8040/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8040/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8041/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8042/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8043/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8044/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8045/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8046/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8050/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8050/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8050/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8051/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8051/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8052/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8052/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8052/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8053/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8060/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8070/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8070/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8070/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8071/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8072/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8073/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8074/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8075/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8076/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8076/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8077/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8078/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8080/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8081/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8082/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8083/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8084/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8090/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8090/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8091/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8092/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8093/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8094/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8095/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8096/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8097/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8098/3"	"2015-09-18"		"X"
