"concept_code_1","concept_code_2","relationship_id"
"115-830","115","item of schema"
"115-2850","115","item of schema"
"115-2860","115","item of schema"
"115-2880","115","item of schema"
"115-2890","115","item of schema"
"115-2900","115","item of schema"
"115-2910","115","item of schema"
"115-2920","115","item of schema"
"115-2930","115","item of schema"
"115-2861","115","item of schema"
"17-400","17","item of schema"
"17-522","17","item of schema"
"17-390","17","item of schema"
"17-2935","17","item of schema"
"17-523","17","item of schema"
"17-440","17","item of schema"
"17-230","17","item of schema"
"17-1182","17","item of schema"
"17-2800","17","item of schema"
"17-2810","17","item of schema"
"17-2820","17","item of schema"
"17-2830","17","item of schema"
"17-2840","17","item of schema"
"17-820","17","item of schema"
"17-830","17","item of schema"
"17-2850","17","item of schema"
"17-2860","17","item of schema"
"17-2880","17","item of schema"
"17-2890","17","item of schema"
"17-2900","17","item of schema"
"17-2910","17","item of schema"
"17-2920","17","item of schema"
"17-2930","17","item of schema"
"17-2861","17","item of schema"
"17-2862","17","item of schema"
"17-2863","17","item of schema"
"17-2864","17","item of schema"
"17-2865","17","item of schema"
"62-400","62","item of schema"
"62-522","62","item of schema"
"62-390","62","item of schema"
"62-2935","62","item of schema"
"62-523","62","item of schema"
"62-440","62","item of schema"
"62-230","62","item of schema"
"62-1182","62","item of schema"
"62-2800","62","item of schema"
"62-2810","62","item of schema"
"62-2820","62","item of schema"
"62-2830","62","item of schema"
"62-2840","62","item of schema"
"62-820","62","item of schema"
"62-830","62","item of schema"
"62-2850","62","item of schema"
"62-2860","62","item of schema"
"62-2869","62","item of schema"
"62-2870","62","item of schema"
"117-400","117","item of schema"
"117-522","117","item of schema"
"117-390","117","item of schema"
"117-2935","117","item of schema"
"117-523","117","item of schema"
"117-440","117","item of schema"
"117-230","117","item of schema"
"117-1182","117","item of schema"
"117-2800","117","item of schema"
"117-2810","117","item of schema"
"117-2820","117","item of schema"
"117-2830","117","item of schema"
"117-2840","117","item of schema"
"117-820","117","item of schema"
"117-830","117","item of schema"
"117-2850","117","item of schema"
"117-2860","117","item of schema"
"123-400","123","item of schema"
"123-522","123","item of schema"
"123-390","123","item of schema"
"123-2935","123","item of schema"
"123-523","123","item of schema"
"123-440","123","item of schema"
"123-230","123","item of schema"
"123-1182","123","item of schema"
"123-2800","123","item of schema"
"123-2810","123","item of schema"
"123-2820","123","item of schema"
"123-2830","123","item of schema"
"123-2840","123","item of schema"
"123-820","123","item of schema"
"123-830","123","item of schema"
"123-2850","123","item of schema"
"123-2860","123","item of schema"
"52-400","52","item of schema"
"52-522","52","item of schema"
"52-390","52","item of schema"
"52-2935","52","item of schema"
"52-523","52","item of schema"
"52-440","52","item of schema"
"52-230","52","item of schema"
"52-1182","52","item of schema"
"52-2800","52","item of schema"
"52-2810","52","item of schema"
"52-2820","52","item of schema"
"52-2830","52","item of schema"
"52-2840","52","item of schema"
"52-820","52","item of schema"
"52-830","52","item of schema"
"52-2850","52","item of schema"
"52-2860","52","item of schema"
"52-2880","52","item of schema"
"52-2890","52","item of schema"
"52-2865","52","item of schema"
"52-2866","52","item of schema"
"52-2867","52","item of schema"
"52-2868","52","item of schema"
"52-2869","52","item of schema"
"54-400","54","item of schema"
"54-522","54","item of schema"
"54-390","54","item of schema"
"54-2935","54","item of schema"
"54-523","54","item of schema"
"54-440","54","item of schema"
"54-230","54","item of schema"
"54-1182","54","item of schema"
"54-2800","54","item of schema"
"54-2810","54","item of schema"
"54-2820","54","item of schema"
"54-2830","54","item of schema"
"54-2840","54","item of schema"
"54-820","54","item of schema"
"54-830","54","item of schema"
"54-2850","54","item of schema"
"54-2860","54","item of schema"
"54-2880","54","item of schema"
"54-2890","54","item of schema"
"54-2865","54","item of schema"
"54-2866","54","item of schema"
"54-2867","54","item of schema"
"54-2868","54","item of schema"
"54-2869","54","item of schema"
"42-400","42","item of schema"
"42-522","42","item of schema"
"42-390","42","item of schema"
"42-2935","42","item of schema"
"42-523","42","item of schema"
"42-440","42","item of schema"
"42-230","42","item of schema"
"42-1182","42","item of schema"
"42-2800","42","item of schema"
"42-2810","42","item of schema"
"42-2820","42","item of schema"
"42-2830","42","item of schema"
"42-2840","42","item of schema"
"42-820","42","item of schema"
"42-830","42","item of schema"
"42-2850","42","item of schema"
"42-2860","42","item of schema"
"42-2930","42","item of schema"
"42-2861","42","item of schema"
"42-2862","42","item of schema"
"42-2863","42","item of schema"
"42-2864","42","item of schema"
"104-400","104","item of schema"
"104-522","104","item of schema"
"104-390","104","item of schema"
"104-2935","104","item of schema"
"104-523","104","item of schema"
"104-440","104","item of schema"
"104-230","104","item of schema"
"104-1182","104","item of schema"
"104-2800","104","item of schema"
"104-2810","104","item of schema"
"104-2820","104","item of schema"
